iperf3: interrupt - the server has terminated
-----------------------------------------------------------
Server listening on 5308 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.2, port 46648
[  5] local 10.0.0.1 port 5308 connected to 10.0.0.2 port 46658
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-1.00   sec  4.75 MBytes  39.8 Mbits/sec                  
[  5]   1.00-2.00   sec  22.9 MBytes   192 Mbits/sec                  
[  5]   2.00-3.00   sec  22.8 MBytes   191 Mbits/sec                  
[  5]   3.00-4.00   sec  22.9 MBytes   192 Mbits/sec                  
[  5]   4.00-5.00   sec  22.9 MBytes   192 Mbits/sec                  
[  5]   5.00-6.00   sec  22.8 MBytes   191 Mbits/sec                  
[  5]   6.00-7.00   sec  22.9 MBytes   192 Mbits/sec                  
[  5]   7.00-8.00   sec  22.9 MBytes   192 Mbits/sec                  
[  5]   8.00-9.00   sec  22.8 MBytes   191 Mbits/sec                  
[  5]   9.00-10.00  sec  22.9 MBytes   192 Mbits/sec                  
[  5]  10.00-11.00  sec  22.8 MBytes   191 Mbits/sec                  
[  5]  11.00-12.00  sec  22.9 MBytes   192 Mbits/sec                  
[  5]  12.00-13.00  sec  22.8 MBytes   191 Mbits/sec                  
[  5]  13.00-14.00  sec  22.9 MBytes   192 Mbits/sec                  
[  5]  14.00-15.00  sec  22.9 MBytes   192 Mbits/sec                  
[  5]  15.00-16.00  sec  22.8 MBytes   191 Mbits/sec                  
[  5]  16.00-17.00  sec  22.9 MBytes   192 Mbits/sec                  
[  5]  17.00-18.00  sec  21.0 MBytes   176 Mbits/sec                  
[  5]  18.00-19.00  sec  22.1 MBytes   186 Mbits/sec                  
[  5]  19.00-20.00  sec  16.9 MBytes   142 Mbits/sec                  
[  5]  20.00-21.00  sec  17.2 MBytes   145 Mbits/sec                  
[  5]  21.00-22.00  sec  18.0 MBytes   151 Mbits/sec                  
[  5]  22.00-23.00  sec  14.6 MBytes   123 Mbits/sec                  
[  5]  23.00-24.00  sec  12.8 MBytes   107 Mbits/sec                  
[  5]  24.00-25.00  sec  10.4 MBytes  87.0 Mbits/sec                  
[  5]  25.00-26.00  sec  11.0 MBytes  92.3 Mbits/sec                  
[  5]  26.00-27.00  sec  11.4 MBytes  95.4 Mbits/sec                  
[  5]  27.00-28.00  sec  11.8 MBytes  98.5 Mbits/sec                  
[  5]  28.00-29.00  sec  11.9 MBytes  99.6 Mbits/sec                  
[  5]  29.00-30.00  sec  11.9 MBytes  99.6 Mbits/sec                  
[  5]  30.00-31.00  sec  12.0 MBytes   101 Mbits/sec                  
[  5]  31.00-32.00  sec  11.9 MBytes  99.6 Mbits/sec                  
[  5]  32.00-33.00  sec  12.0 MBytes   101 Mbits/sec                  
[  5]  33.00-34.00  sec  12.0 MBytes   101 Mbits/sec                  
[  5]  34.00-35.00  sec  12.2 MBytes   103 Mbits/sec                  
[  5]  35.00-35.10  sec  1.25 MBytes   102 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-35.10  sec   622 MBytes   149 Mbits/sec                  receiver
