iperf3: interrupt - the server has terminated
-----------------------------------------------------------
Server listening on 5334 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.2, port 58258
[  5] local 10.0.0.1 port 5334 connected to 10.0.0.2 port 58272
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-1.00   sec   256 KBytes  2.10 Mbits/sec                  
[  5]   1.00-2.00   sec   768 KBytes  6.29 Mbits/sec                  
[  5]   2.00-3.00   sec  1.12 MBytes  9.44 Mbits/sec                  
[  5]   3.00-4.00   sec  1.50 MBytes  12.6 Mbits/sec                  
[  5]   4.00-5.00   sec  2.00 MBytes  16.8 Mbits/sec                  
[  5]   5.00-6.00   sec  2.25 MBytes  18.9 Mbits/sec                  
[  5]   6.00-7.00   sec  2.75 MBytes  23.1 Mbits/sec                  
[  5]   7.00-8.00   sec  2.88 MBytes  24.1 Mbits/sec                  
[  5]   8.00-9.00   sec  3.12 MBytes  26.2 Mbits/sec                  
[  5]   9.00-10.00  sec  3.00 MBytes  25.2 Mbits/sec                  
[  5]  10.00-11.00  sec  3.00 MBytes  25.2 Mbits/sec                  
[  5]  11.00-12.00  sec  3.00 MBytes  25.2 Mbits/sec                  
[  5]  12.00-13.00  sec  3.00 MBytes  25.2 Mbits/sec                  
[  5]  13.00-14.00  sec  3.12 MBytes  26.2 Mbits/sec                  
[  5]  14.00-15.00  sec  3.25 MBytes  27.3 Mbits/sec                  
[  5]  15.00-16.00  sec  3.25 MBytes  27.3 Mbits/sec                  
[  5]  16.00-17.00  sec  3.25 MBytes  27.3 Mbits/sec                  
[  5]  17.00-18.00  sec  3.38 MBytes  28.3 Mbits/sec                  
[  5]  18.00-19.00  sec  3.12 MBytes  26.2 Mbits/sec                  
[  5]  19.00-20.00  sec  3.00 MBytes  25.2 Mbits/sec                  
[  5]  20.00-21.00  sec  3.38 MBytes  28.3 Mbits/sec                  
[  5]  21.00-22.00  sec  3.38 MBytes  28.3 Mbits/sec                  
[  5]  22.00-23.00  sec  3.25 MBytes  27.3 Mbits/sec                  
[  5]  23.00-24.00  sec  3.38 MBytes  28.3 Mbits/sec                  
[  5]  24.00-25.00  sec  2.88 MBytes  24.1 Mbits/sec                  
[  5]  25.00-26.00  sec  3.25 MBytes  27.3 Mbits/sec                  
[  5]  26.00-27.00  sec  2.88 MBytes  24.1 Mbits/sec                  
[  5]  27.00-28.00  sec  2.38 MBytes  19.9 Mbits/sec                  
[  5]  28.00-29.00  sec  2.62 MBytes  22.0 Mbits/sec                  
[  5]  29.00-30.00  sec  3.00 MBytes  25.2 Mbits/sec                  
[  5]  30.00-30.04  sec   128 KBytes  24.9 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-30.04  sec  81.5 MBytes  22.8 Mbits/sec                  receiver
