iperf3: interrupt - the server has terminated
-----------------------------------------------------------
Server listening on 5398 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.2, port 38996
[  5] local 10.0.0.1 port 5398 connected to 10.0.0.2 port 39004
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-1.00   sec  5.25 MBytes  44.0 Mbits/sec                  
[  5]   1.00-2.00   sec  22.8 MBytes   191 Mbits/sec                  
[  5]   2.00-3.00   sec  22.9 MBytes   192 Mbits/sec                  
[  5]   3.00-4.00   sec  22.8 MBytes   191 Mbits/sec                  
[  5]   4.00-5.00   sec  22.9 MBytes   192 Mbits/sec                  
[  5]   5.00-6.00   sec  22.9 MBytes   192 Mbits/sec                  
[  5]   6.00-7.00   sec  22.8 MBytes   191 Mbits/sec                  
[  5]   7.00-8.00   sec  22.9 MBytes   192 Mbits/sec                  
[  5]   8.00-9.00   sec  22.8 MBytes   191 Mbits/sec                  
[  5]   9.00-10.00  sec  22.9 MBytes   192 Mbits/sec                  
[  5]  10.00-11.00  sec  22.8 MBytes   191 Mbits/sec                  
[  5]  11.00-12.00  sec  22.9 MBytes   192 Mbits/sec                  
[  5]  12.00-13.00  sec  22.9 MBytes   192 Mbits/sec                  
[  5]  13.00-14.00  sec  22.8 MBytes   191 Mbits/sec                  
[  5]  14.00-15.00  sec  22.9 MBytes   192 Mbits/sec                  
[  5]  15.00-16.00  sec  22.9 MBytes   192 Mbits/sec                  
[  5]  16.00-17.00  sec  22.8 MBytes   191 Mbits/sec                  
[  5]  17.00-18.00  sec  22.8 MBytes   191 Mbits/sec                  
[  5]  18.00-19.00  sec  17.2 MBytes   145 Mbits/sec                  
[  5]  19.00-20.00  sec  16.6 MBytes   139 Mbits/sec                  
[  5]  20.00-21.00  sec  17.2 MBytes   145 Mbits/sec                  
[  5]  21.00-22.00  sec  14.4 MBytes   121 Mbits/sec                  
[  5]  22.00-23.00  sec  9.50 MBytes  79.7 Mbits/sec                  
[  5]  23.00-24.00  sec  10.0 MBytes  84.0 Mbits/sec                  
[  5]  24.00-25.00  sec  10.5 MBytes  88.0 Mbits/sec                  
[  5]  25.00-26.00  sec  10.6 MBytes  89.1 Mbits/sec                  
[  5]  26.00-27.00  sec  11.0 MBytes  92.3 Mbits/sec                  
[  5]  27.00-28.00  sec  9.88 MBytes  82.8 Mbits/sec                  
[  5]  28.00-29.00  sec  8.25 MBytes  69.2 Mbits/sec                  
[  5]  29.00-30.00  sec  8.62 MBytes  72.4 Mbits/sec                  
[  5]  30.00-31.00  sec  9.12 MBytes  76.5 Mbits/sec                  
[  5]  31.00-32.00  sec  9.12 MBytes  76.5 Mbits/sec                  
[  5]  32.00-33.00  sec  9.25 MBytes  77.6 Mbits/sec                  
[  5]  33.00-34.00  sec  9.38 MBytes  78.6 Mbits/sec                  
[  5]  34.00-35.00  sec  9.38 MBytes  78.6 Mbits/sec                  
[  5]  35.00-35.10  sec  1.00 MBytes  81.8 Mbits/sec                  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate
[  5]   0.00-35.10  sec   584 MBytes   140 Mbits/sec                  receiver
